title,company,genre,year,rating,length,critic_score,number_of_critics,user_score,number_of_users,latitude,longitude,state_filmed
The Boy Plus Poverty,Kind Soldier,Musical,1993,R,64,72,35,94,111,34.3502,-95.0510,Oklahoma
A Finger At Humor,Course Universe,Horror,2016,G,77,17,86,90,560,35.6951,-97.5758,Oklahoma
The Car Despite Heaven,Solar Scratch,Romance,1982,G,81,98,78,20,195,32.3566,-107.9722,New Mexico
The Couch Across Anxiety,Papersoft,Mystery,2016,R,117,63,38,31,2270,34.7643,-101.0171,Texas
An Atmosphere Despite Confusion,Kind Soldier,Horror,1989,R,71,80,26,67,664,40.63268,-73.68422,Connecticut
The Flower Beneath Loss,Solar Scratch,Horror,1986,PG-13,61,27,51,9,2210,43.10287,-70.67561,Maine
The World Since Loyalty,Papersoft,Fantasy,1989,PG,119,0,37,98,781,35.64868,-88.14893,Tennessee
A Face Beside Love,Light Box,Fantasy,1993,G,65,44,56,79,2622,38.6856,-87.53974,Indiana
A Bed Given Time,Silent Vision,Romance,2021,G,72,95,26,50,519,32.2695,-97.4814,Texas
A Man To Dishonesty,Silent Vision,Science Fiction,2002,R,101,21,45,30,2412,34.2613,-90.8782,Mississippi
The Soul Until Humor,Yellow Dinner,Musical,1981,R,90,71,58,92,815,41.49024,-75.70651,Pennsylvania
The Girl Barring Hunger,Minute Sand,Thriller,2003,PG-13,119,15,74,85,62,31.5970,-111.1165,Arizona
The Soul Past Pain,Papersoft,Fantasy,2010,G,106,72,33,11,1230,28.60527,-80.64033,{}
The Bug Save Worry,Runaway Vehicle,Documentary,1996,PG,112,36,81,13,2216,39.68815,-77.75249,Maryland
A Shirt Considering Thought,Final Cost,Mystery,2019,PG-13,113,76,18,28,862,38.5618,-118.5238,Nevada
A World Past Science,Sound Circle,Musical,1990,PG,82,95,11,98,2410,33.93982,-86.02358,Alabama
A Man Without Consistency,Light Box,Action,1996,G,67,71,16,83,699,38.33033,-88.72228,Illinois
The Window Amid Loss,Light Box,Mystery,2005,PG,106,45,91,7,121,38.8157,-108.9722,Utah
The Shirt Per Life,Kind Soldier,Documentary,2000,R,100,46,66,68,2763,38.94897,-81.18456,West Virginia
The Kite Beyond Despair,Runaway Vehicle,Science Fiction,2016,R,87,7,62,57,2555,32.45014,-86.11663,Alabama
A Helicopter Versus Honor,Course Universe,Mystery,1997,R,63,24,62,26,1288,33.16072,-79.7148,South Carolina
The Flower Amid Hunger,Sound Circle,Romance,2009,R,117,27,8,72,943,42.5863,-72.7511,Massachusetts
The Moon Save Humor,Empty Mind,Mystery,1999,G,113,0,3,28,1157,35.66178,-82.58791,North Carolina
The Couch Concerning Decay,Pulling Sally,Documentary,1982,R,84,40,90,21,847,30.36418,-87.63556,Alabama
The Clown Amid War,Papersoft,Mystery,2006,PG,93,91,35,45,2814,34.8315,-120.5647,California
A Rocket Around Control,Solar Scratch,Thriller,1996,G,93,55,7,15,809,32.7616,-97.0913,Texas
The Finger From Wealth,Pulling Sally,Action,1978,G,82,24,69,52,451,40.7801,-75.09962,Pennsylvania
The Glacier Except Respect,Runaway Vehicle,Action,2003,R,108,57,96,46,2215,36.93509,-83.39935,Kentucky
A Rocket Below Thought,Final Cost,Mystery,1981,R,87,20,26,66,1175,38.5783,-104.6071,Colorado
A Pillow Per Sleep,Pulling Sally,Musical,1978,PG,66,47,26,84,1157,45.9665,-93.0016,Minnesota
The Finger To Success,Empty Mind,Thriller,1980,PG,71,51,92,13,1331,34.4119,-112.3120,Arizona
An Airplane Without Luck,Silent Vision,Mystery,1978,PG,60,36,98,56,2327,34.0807,-90.7447,Mississippi
The Clown Plus Sight,Runaway Vehicle,Science Fiction,1993,G,88,11,54,51,2666,34.7151,-108.9719,Arizona
A Bear Among Mercy,Fading Shrimp,Horror,1977,R,100,10,71,14,1587,62.5160,-142.0407,Alaska
The Floor On Humor,Kind Soldier,Horror,1993,PG,91,91,30,53,1393,44.32552,-90.02735,Wisconsin
The Air Unlike Fact,Runaway Vehicle,Fantasy,1983,PG-13,62,1,39,65,1079,36.01764,-80.07782,North Carolina
A Fruit Across Heaven,Sound Circle,Musical,2010,R,66,81,47,47,2131,40.22648,-76.90053,Pennsylvania
A Girl Minus Respect,Silent Vision,Action,1984,PG-13,101,38,18,83,2468,36.9831,-121.8240,California
The Eye Aboard Control,Empty Mind,Documentary,2002,PG-13,93,88,91,34,2426,31.8888,-98.0227,Texas
The Valley After Wealth,Fading Shrimp,Romance,1977,PG-13,76,62,41,54,230,43.55665,-89.90679,Wisconsin
The Thief Inside Hell,Huge Fish,Science Fiction,2003,G,69,3,33,11,1111,32.0227,-103.3494,New Mexico
A Bug Beneath Dishonesty,Kind Soldier,Mystery,2006,G,84,12,61,73,1442,43.57329,-70.52413,Maine
A Train Including Reality,Solar Scratch,Science Fiction,1987,G,94,10,27,62,1990,36.86265,-76.30077,Virginia
The Woman Towards Loss,Empty Mind,Mystery,1988,PG-13,114,41,9,5,786,36.9562,-95.1717,Oklahoma
The Lake About Thought,Sound Circle,Horror,1975,PG,93,30,3,48,1376,44.86423,-69.90367,Maine
A Lake For Happiness,Empty Mind,Documentary,1998,PG,86,7,11,59,316,36.8179,-106.9644,New Mexico
The Valley Excluding Sleep,Course Universe,Musical,1978,R,74,53,40,48,2164,37.732,-85.87386,Kentucky
A Lake Beyond Love,Silent Vision,Drama,2020,PG,86,86,77,50,2962,37.5154,-119.7948,California
The Bird Underneath Confusion,Fading Shrimp,Romance,1979,PG-13,96,84,43,0,2141,30.48086,-83.45405,Florida
The Shoe Inside War,Yellow Dinner,Horror,2022,R,78,60,39,50,2029,42.4694,-121.2475,Oregon
A Window Beyond Fact,Kind Soldier,Action,1975,PG-13,98,97,46,72,1132,40.87854,-80.76236,Ohio
The Man Beside Death,Course Universe,Comedy,2006,PG,113,60,45,24,302,40.13952,-80.35118,Pennsylvania
A Bird Pending Mercy,Sure Way,Fantasy,1981,R,72,24,99,11,2244,32.7637,-101.0811,Texas
The World Among Science,Fading Shrimp,Drama,2019,G,103,25,74,14,2299,35.2998,-98.5157,Oklahoma
A Chair For Speed,Light Box,Mystery,1988,PG-13,89,38,39,89,874,43.16478,-77.645,New York
The Pillow Onto Space,Final Cost,Drama,1983,R,98,80,92,66,892,31.0548,-96.4052,Texas
The Car Underneath Sight,Sound Circle,Drama,1994,R,68,40,73,9,2239,33.88538,-84.48521,Georgia
The Man Via Strength,Solar Scratch,Action,1994,G,109,86,97,5,496,37.3974,-120.0068,California
The Wall Upon Luxury,Sure Way,Horror,1982,PG,118,8,37,79,1194,28.87969,-81.29451,Florida
A Shoe Outside Uncertainty,Final Cost,Musical,2019,R,107,7,13,67,1205,31.20564,-89.35757,Mississippi
The Woman Round Sleep,Kind Soldier,Mystery,2018,G,101,50,44,13,761,41.49281,-87.75199,Illinois
The Alien Round Pride,Runaway Vehicle,Comedy,2003,PG-13,88,34,39,25,1046,35.67451,-87.07917,Tennessee
A Chair Past Consistency,Light Box,Action,2022,R,111,98,59,1,195,38.8949,-116.8548,Nevada
A Door Excluding Rhythm,Final Cost,Thriller,1990,G,60,86,15,12,2031,44.6818,-91.9269,Wisconsin
A Book Behind Speed,Kind Soldier,Musical,1998,PG,75,1,8,99,2924,40.30647,-78.27918,Pennsylvania
A Girl Under Mercy,Silent Vision,Action,2004,PG-13,97,55,58,7,2727,38.60561,-86.10109,Indiana
The Boy Beneath Freedom,Silent Vision,Romance,2009,PG,118,85,4,90,2857,42.4287,-116.5142,Idaho
The Finger Under Dishonesty,Minute Sand,Horror,1980,G,105,57,18,13,2671,39.64115,-89.03647,Illinois
The Air Into Control,Empty Mind,Musical,1976,R,96,53,20,5,357,44.5348,-123.2653,Oregon
A Boy Amid Decay,Sound Circle,Musical,2008,R,102,64,96,9,1235,38.7148,-92.4746,Missouri
The Mountain Like Sight,Yellow Dinner,Documentary,2000,R,77,90,9,30,700,35.45369,-89.80953,Tennessee
The Thief As Luck,Pulling Sally,Mystery,2010,PG,117,42,47,95,1213,39.0874,-95.2123,Kansas
The Cat Like Calm,Light Box,Science Fiction,1994,PG,76,31,86,58,5,33.98853,-86.5036,Alabama
The Child As Pain,Solar Scratch,Fantasy,2016,PG-13,60,22,22,59,922,43.2910,-110.1771,Wyoming
The Glacier Round Fact,Kind Soldier,Thriller,2009,G,78,95,96,97,11,38.6361,-96.3006,Kansas
A Moon Below Hate,Kind Soldier,Documentary,2021,R,110,34,90,18,519,36.11785,-89.84509,Missouri
The Blade Despite Anxiety,Yellow Dinner,Action,1976,PG,103,26,58,24,2247,38.2013,-111.7880,Utah
The Clown Below Time,Fading Shrimp,Action,2008,PG-13,95,26,97,40,1815,44.55639,-87.87,Wisconsin
A Bird Inside Truth,Solar Scratch,Thriller,2007,PG,82,57,78,66,1715,41.07676,-74.08486,New York
A Woman To Patience,Runaway Vehicle,Action,1992,R,115,94,84,22,491,30.8327,-93.4277,Louisiana
A Robot Near Reality,Minute Sand,Romance,2000,G,84,32,43,28,2045,41.6051,-72.90371,Connecticut
A Face Amid Strength,Sure Way,Mystery,2006,PG,106,62,15,66,1071,35.53917,-82.66917,North Carolina
The Bird Below Poverty,Course Universe,Romance,1980,PG-13,66,56,99,61,71,37.6356,-88.22976,Kentucky
The Shoe Like Confusion,Yellow Dinner,Science Fiction,2014,PG,98,39,95,46,735,28.07418,-82.47176,Florida
A Pillow As Honor,Fading Shrimp,Science Fiction,1982,PG,85,30,28,37,277,34.0484,-112.4489,Arizona
The Air Outside Heaven,Pulling Sally,Drama,2010,PG,107,73,72,88,807,40.72306,-73.83861,New York
The Tree Around Luck,Runaway Vehicle,Science Fiction,2000,PG,82,75,93,84,182,26.28193,-80.12898,Florida
A Thief Save Worry,Sound Circle,Romance,1989,PG,63,45,21,8,1385,36.4300,-105.7131,New Mexico
The Road Unlike Reality,Light Box,Action,2003,G,69,17,96,0,2539,35.2251,-101.4448,Texas
The Clown Except Space,Course Universe,Romance,2019,G,113,21,34,10,1822,47.1579,-120.2791,Washington
A Tree Before Loss,Final Cost,Science Fiction,1989,G,90,14,16,85,1649,38.3659,-84.87606,Kentucky
A Lake Of Respect,Final Cost,Science Fiction,2012,G,80,32,44,76,136,38.0456,-109.3021,Colorado
An Airplane Beyond Thought,Solar Scratch,Drama,1988,PG-13,98,78,67,97,99,27.1095,-97.8056,Texas
The Car Over Rhythm,Papersoft,Action,1992,PG-13,119,95,21,80,2460,40.00202,-81.53957,Ohio
The Man Under Comfort,Sound Circle,Drama,2003,R,86,98,52,82,1780,32.8788,-104.2984,New Mexico
An Alien Inside Success,Solar Scratch,Science Fiction,1999,R,83,72,73,13,747,43.75723,-86.40091,Michigan
The Airplane Regarding Fiction,Yellow Dinner,Action,1983,PG,115,27,5,38,756,33.09124,-84.43742,Georgia
A Train Excluding Touch,Sound Circle,Documentary,2014,R,107,77,88,65,2752,48.9589,-109.9823,Montana
A Window Off Science,Sure Way,Thriller,1987,G,79,29,4,5,2510,47.8139,-122.6225,Washington
The Pillow Per Consistency,Runaway Vehicle,Romance,2022,R,75,48,51,91,2398,45.7197,-120.9574,Oregon
The Car Unlike Confusion,Solar Scratch,Drama,2019,PG-13,103,22,10,47,2593,39.6508,-104.8793,Colorado
The Glacier Under Happiness,Sure Way,Documentary,1979,PG-13,104,55,10,95,939,40.0733,-95.6726,Nebraska
A Blade Minus Thought,Solar Scratch,Horror,2012,G,85,88,65,95,290,48.1391,-117.3864,Washington
The Moon Aboard Calm,Pulling Sally,Comedy,1993,PG-13,88,88,3,23,105,39.6675,-120.6013,California
The Road Plus Death,Final Cost,Documentary,2015,PG,103,76,1,69,1550,43.0666,-123.1767,Oregon
A Tree Beneath Clarity,Minute Sand,Science Fiction,1982,PG,64,83,25,84,159,36.4887,-102.7988,Texas
The Valley Above Hell,Empty Mind,Drama,2015,PG-13,81,94,8,7,416,35.9484,-106.5661,New Mexico
A Road For Speed,Somehow Here,Thriller,2010,G,105,29,64,68,1331,37.4495,-94.3289,Missouri
The Box For Thought,Solar Scratch,Fantasy,2006,G,65,44,82,73,1721,33.6757,-108.4699,New Mexico
A Child Before Luxury,Kind Soldier,Romance,1996,G,79,74,20,63,1417,41.3373,-75.73297,Pennsylvania
A Woman At Failure,Runaway Vehicle,Romance,2008,R,76,36,73,18,2774,42.13449,-85.85168,Michigan
A Glacier For Despair,Huge Fish,Horror,2001,R,66,85,70,86,196,38.7993,-123.3807,California
A Cow Regarding Life,Light Box,Comedy,1986,G,66,17,18,72,2985,38.9957,-79.12769,West Virginia
A Pencil Amid Success,Minute Sand,Action,1990,PG,100,69,57,81,1948,43.1232,-96.4722,South Dakota
A Man Off Rhythm,Somehow Here,Fantasy,1976,R,102,44,98,47,1179,39.3134,-91.9493,Missouri
A Bug Of Confusion,Papersoft,Romance,2008,PG-13,67,4,68,93,316,46.8297,-101.2990,{}
The Fruit Behind Heaven,Sure Way,Romance,2019,PG,115,95,89,60,960,43.89923,-73.74874,New York
A Cat For Pain,Empty Mind,Mystery,2009,PG,80,8,55,57,452,36.69091,-84.45577,Kentucky
The Window At Calm,Silent Vision,Science Fiction,2013,PG,97,78,36,35,1753,38.83595,-78.68446,West Virginia
A Train Near Fear,Papersoft,Documentary,1984,PG-13,117,2,5,15,889,36.9916,-121.8974,California
A House Around Science,Silent Vision,Comedy,1996,R,69,56,24,77,2376,35.77703,-83.98268,Tennessee
The Girl Via Fact,Yellow Dinner,Comedy,2021,PG,60,91,61,4,2610,34.76183,-77.47135,North Carolina
The Leg To War,Sure Way,Science Fiction,2008,G,73,25,88,53,309,38.00564,-82.9485,Kentucky
A Girl Except Hell,Papersoft,Mystery,2016,PG-13,96,17,51,7,2034,34.53343,-86.90973,Alabama
The Cloud Toward Love,Yellow Dinner,Fantasy,1994,G,70,50,69,5,2304,40.189,-74.99461,New Jersey
A Soldier Excepting Disrespect,Pulling Sally,Thriller,1992,G,80,87,85,43,2624,31.51161,-81.50038,Georgia
The Mouth With Happiness,Yellow Dinner,Documentary,2011,PG-13,95,68,4,3,1598,41.43361,-82.05833,Ohio
The Chair Into Despair,Yellow Dinner,Thriller,2007,G,87,60,0,86,1503,37.8345,-121.9641,California
A Rocket Towards Confusion,Silent Vision,Drama,1980,PG,95,84,82,93,1764,38.1058,-111.9223,Utah
The Diamond Per Sleep,Pulling Sally,Science Fiction,2006,PG,118,9,75,47,1968,43.6126,-99.0211,South Dakota
The Moon Over Luck,Minute Sand,Comedy,1999,G,91,66,48,62,2023,38.79289,-77.51916,Virginia
A Door Beside Patience,Empty Mind,Science Fiction,2007,PG-13,119,43,23,60,1492,28.0753,-82.4974,Florida
A House Round Mercy,Somehow Here,Action,2015,PG,99,92,33,84,2741,26.0081,-97.9957,Texas
The Woman With Riches,Sound Circle,Science Fiction,1980,PG-13,114,43,95,61,55,39.89291,-82.41409,Ohio
The Dog Past Honor,Somehow Here,Science Fiction,1993,R,76,69,78,75,1783,37.3753,-92.9473,Missouri
A Helicopter Per Insanity,Empty Mind,Musical,2013,PG,75,97,58,77,2543,43.55563,-72.33342,Vermont
A Lake Versus Speed,Kind Soldier,Drama,2013,PG-13,73,80,50,38,1741,46.7358,-117.0606,Washington
A Cow To Calm,Empty Mind,Thriller,1989,G,71,88,15,2,781,48.8476,-104.8516,Montana
The Eye Below Life,Pulling Sally,Documentary,2007,PG-13,81,20,84,84,2890,39.6817,-88.19588,Illinois
A Kite Regarding Despair,Kind Soldier,Thriller,2011,G,113,93,75,20,1147,41.67007,-87.73679,Illinois
The Thing After Hell,Solar Scratch,Drama,2003,R,92,8,76,89,1731,36.8927,-109.4363,Arizona
A Mountain Amid Hope,Huge Fish,Romance,2013,R,93,39,46,55,1718,37.5082,-95.4363,Kansas
The Pencil Since Luck,Final Cost,Documentary,1989,PG,64,62,67,44,1635,42.9945,-108.5584,Wyoming
The Robot Barring Space,Somehow Here,Fantasy,1981,R,119,16,60,28,696,45.9290,-109.4432,Montana
A Mountain Near Insanity,Sound Circle,Documentary,2019,PG-13,106,5,31,59,1935,27.2511,-97.9045,Texas
A House To Heaven,Papersoft,Drama,2017,R,109,54,21,52,1217,36.079,-76.62,North Carolina
A Face Following Wealth,Final Cost,Drama,1982,R,87,89,70,86,1552,31.03157,-85.43854,Florida
The Mountain Toward Confusion,Kind Soldier,Science Fiction,2001,PG-13,82,15,0,93,1802,34.1598,-116.4376,California
A Woman Below Uncertainty,Kind Soldier,Action,1983,R,77,0,72,51,2918,45.6353,-107.5144,Montana
The Glacier Like Death,Minute Sand,Fantasy,2006,PG,68,97,88,45,406,30.2527,-90.9622,Louisiana
The Pencil As Fragility,Papersoft,Fantasy,2001,R,68,84,95,33,310,33.7968,-117.4253,California
The Thief Excepting Luck,Final Cost,Horror,2019,R,82,81,93,14,2862,33.44819,-82.06067,Georgia
The Bird Toward Sight,Huge Fish,Drama,1997,R,83,29,35,39,2559,41.3284,-90.6945,Iowa
The Bed Of Luck,Minute Sand,Mystery,1981,PG,96,66,68,92,1462,31.7943,-97.5525,Texas
The Door Barring Heaven,Solar Scratch,Drama,2000,G,81,47,33,42,1741,46.2167,-117.9542,Washington
A Face Like Rhythm,Fading Shrimp,Documentary,2021,PG-13,66,58,94,39,1320,39.9331,-94.2153,Missouri
The Bird Without Thought,Kind Soldier,Musical,2006,PG-13,81,56,21,61,1545,41.43255,-81.46678,Ohio
The Road Plus Space,Runaway Vehicle,Drama,1976,R,68,20,71,56,1384,45.7003,-110.0133,Montana
A Leg Before Science,Fading Shrimp,Mystery,2007,PG,83,49,38,52,2848,48.7837,-104.3348,Montana
The Car From Decay,Sure Way,Drama,1981,G,110,0,53,96,285,43.8659,-72.05536,New Hampshire
A Cloud Via Feeling,Somehow Here,Science Fiction,2011,PG-13,90,53,70,57,2250,35.3112,-105.4865,New Mexico
A Cat In Loyalty,Solar Scratch,Mystery,2015,PG-13,103,6,31,69,2050,34.70008,-85.73553,Alabama
A Train Aboard Loyalty,Pulling Sally,Mystery,2008,G,81,72,59,1,1164,35.20564,-88.42615,Tennessee
The Robot Plus Science,Pulling Sally,Thriller,2013,PG-13,62,11,95,17,2058,27.8479,-82.3708,Florida
The Foot Before Failure,Course Universe,Comedy,2010,R,90,35,52,4,1108,42.7076,-110.7804,Wyoming
The Nose Towards Confusion,Somehow Here,Fantasy,1989,PG,97,75,39,96,2808,45.65894,-68.70948,Maine
A Leg Above Hate,Light Box,Comedy,1980,R,111,26,93,88,2565,34.8237,-86.48166,Alabama
A Cow Per Time,Empty Mind,Musical,2000,PG,60,70,51,92,2874,41.2701,-72.4687,Connecticut
The Road Minus Reality,Silent Vision,Mystery,1981,G,85,35,23,6,2235,31.7674,-98.7405,Texas
A Thief Despite Sleep,Kind Soldier,Musical,1998,G,89,9,89,62,1652,39.0105,-122.0064,California
The Glacier Despite Pain,Sure Way,Fantasy,1976,PG-13,62,49,68,50,1046,42.0299,-118.5506,Nevada
The Airplane Excluding Reality,Papersoft,Fantasy,1975,G,107,74,60,50,1869,36.76097,-80.00921,Virginia
A Helicopter Behind Space,Fading Shrimp,Fantasy,1982,R,103,78,17,58,1449,47.0825,-122.5331,Washington
A Glacier Including Loyalty,Course Universe,Musical,1978,R,104,8,71,55,830,43.17277,-89.10956,Wisconsin
The Wall Amid War,Final Cost,Romance,1980,PG-13,96,90,31,84,887,40.79397,-76.52246,Pennsylvania
A Girl Aboard Love,Papersoft,Documentary,1975,R,72,54,58,69,2430,37.6275,-104.6070,Colorado
The Helicopter Behind Love,Course Universe,Horror,2016,PG-13,69,57,52,30,2319,46.4694,-106.2205,Montana
An Atmosphere Below Disrespect,Runaway Vehicle,Science Fiction,2016,R,76,91,48,31,1708,36.3908,-118.8969,California
The Floor Near Speed,Papersoft,Romance,2009,PG-13,64,98,91,43,1760,32.45014,-86.11663,Alabama
A Foot After Strength,Light Box,Romance,2002,G,119,83,84,99,477,36.71126,-77.56359,Virginia
The Man At Death,Light Box,Thriller,2010,PG,90,77,60,41,661,42.21038,-71.01866,Massachusetts
A Road Underneath Disrespect,Silent Vision,Comedy,2020,PG,90,20,98,8,735,37.78144,-89.11925,Illinois
