title,company,genre,year,rating,length,critic_score,number_of_critics,user_score,number_of_users,latitude,longitude,state_filmed
The Tree From Hope,Final Cost,Comedy,2020,PG,112,43,1716,34,1472,44.9526,-100.2820,South Dakota
A Shirt Around Consistency,Kind Soldier,Comedy,2019,R,95,24,1345,62,1841,37.1010,-104.3194,Colorado
The Foot Through Decay,Runaway Vehicle,Thriller,1981,PG,101,54,848,43,947,43.36806,-85.50944,Michigan
The Wall About Uncertainty,Final Cost,Comedy,2003,PG-13,96,56,2363,60,967,43.6929,-122.1216,Oregon
A Thing Concerning Heaven,Sure Way,Science Fiction,1982,R,79,40,1862,21,1009,30.42631,-88.89086,Mississippi
A Man Toward Comfort,Silent Vision,Science Fiction,1996,R,90,66,1687,33,1620,39.1977,-96.7534,Kansas
A Cow Except Hate,Fading Shrimp,Science Fiction,2002,R,71,54,2744,72,2282,33.2795,-94.7096,Texas
The Cat At Mercy,Somehow Here,Thriller,2014,PG,90,78,1236,67,1195,55.0143,-131.7337,Alaska
The Couch Round Truth,Light Box,Thriller,1997,R,91,70,1700,16,1686,40.13952,-80.35118,Pennsylvania
The Soul To Feeling,Light Box,Comedy,2014,R,80,36,1432,61,1741,33.3685,-90.2640,Mississippi
The Cat Near Hunger,Minute Sand,Drama,1974,G,79,68,1165,81,2425,43.52674,-71.46896,New Hampshire
The Leg Around Freedom,Papersoft,Thriller,1987,R,102,34,1180,48,1566,36.58506,-89.93481,Missouri
A Diamond Behind Happiness,Silent Vision,Drama,2013,R,92,59,2318,42,1121,37.7338,-108.2520,Colorado
A Bug Unlike Science,Silent Vision,Drama,2015,R,82,38,1013,47,1663,45.5945,-91.7858,Wisconsin
A Mouth Until Fiction,Huge Fish,Documentary,1988,R,82,72,1513,65,1044,39.8543,-105.7963,Colorado
A Helicopter Including Hope,Final Cost,Mystery,1995,PG,100,72,1105,11,1764,39.39232,-79.597,West Virginia
The Kite Across Luxury,Sound Circle,Drama,1999,PG-13,65,58,2048,90,1975,33.399,-85.37356,Alabama
The Chair To Pride,Silent Vision,Action,2005,PG,85,55,2463,75,631,34.92535,-85.24134,Georgia
A Window Until Life,Sound Circle,Comedy,1978,R,94,19,2388,31,2495,35.20564,-88.42615,Tennessee
A Glacier Amid Death,Final Cost,Science Fiction,2006,PG-13,101,58,2073,52,2751,32.5732,-95.4743,Texas
A Helicopter Above War,Huge Fish,Thriller,2006,R,86,57,1308,43,1148,42.3743,-92.3147,Iowa
The Wall Beside Hate,Runaway Vehicle,Documentary,2016,PG,92,11,636,57,1805,43.9967,-89.9561,Wisconsin
The Leg Unlike Fragility,Sound Circle,Documentary,2015,R,67,78,1398,35,2639,35.5075,-94.1558,Arkansas
A Thief To Science,Course Universe,Drama,2014,G,99,62,1214,23,1471,34.76183,-77.47135,North Carolina
The Cat Between Insanity,Runaway Vehicle,Thriller,2012,R,79,30,1095,50,1826,33.56678,-85.0705,Georgia
A Fruit Underneath Decay,Huge Fish,Science Fiction,2003,PG,73,59,1803,39,622,48.5498,-112.0819,Montana
A Door Between Truth,Yellow Dinner,Action,2012,R,112,30,1195,82,2146,46.2883,-121.4521,Washington
The Door Around Comfort,Solar Scratch,Action,1994,PG-13,69,59,1244,26,1969,44.3236,-106.7056,Wyoming
The Clown Off Dishonesty,Course Universe,Action,2023,R,65,63,1254,52,1680,33.9065,-106.0932,New Mexico
A Foot Across Mercy,Yellow Dinner,Horror,2017,PG-13,67,14,1526,56,443,35.2907,-105.5190,New Mexico
A Mountain Above Happiness,Runaway Vehicle,Thriller,1979,PG-13,85,98,391,45,2372,32.3447,-92.2418,Louisiana
A Finger Before Hunger,Silent Vision,Action,2010,R,96,29,1248,22,1529,41.0413,-111.7245,Utah
The Pencil Save Hope,Silent Vision,Fantasy,1990,PG,96,41,2692,26,1713,41.11864,-87.8881,Illinois
The Pencil Including Happiness,Runaway Vehicle,Horror,1985,R,99,33,1521,91,1073,38.8179,-120.0974,California
The Nose Beside Loyalty,Runaway Vehicle,Drama,2010,PG,77,62,2493,16,2838,42.89923,-78.65281,New York
The Bug Regarding Hunger,Huge Fish,Action,1995,R,116,18,845,14,2213,34.76314,-86.0522,Alabama
A Tree Amid Fragility,Kind Soldier,Comedy,2008,PG,101,46,1603,33,1783,33.0372,-96.7915,Texas
A Valley Excluding Feeling,Course Universe,Thriller,1995,PG-13,92,66,1335,43,944,39.75088,-85.05607,Indiana
An Eye After Failure,Somehow Here,Romance,2020,R,111,32,2037,39,375,39.02844,-77.04053,Maryland
A Thing Per Time,Sure Way,Musical,2020,R,88,40,2466,41,1485,36.6080,-97.4685,Oklahoma
A World Underneath Strength,Pulling Sally,Science Fiction,2021,R,101,63,2254,11,2464,32.2313,-81.83067,Georgia
A Bear Following Sight,Fading Shrimp,Action,2005,PG,93,11,1417,43,586,34.5081,-94.0507,Arkansas
The Tree As Fiction,Empty Mind,Fantasy,1994,PG-13,110,54,1496,36,552,38.9221,-99.9777,Kansas
A Dog Of Despair,Final Cost,Fantasy,2020,R,95,62,1191,79,1148,39.37449,-83.01119,Ohio
A World Barring Calm,Pulling Sally,Thriller,2022,PG,89,72,1966,75,315,30.8289,-100.0063,Texas
A Man About Space,Sure Way,Comedy,2011,R,71,29,652,45,2074,41.52341,-75.5663,Pennsylvania
A Tree Outside Feeling,Solar Scratch,Horror,2006,R,86,30,1659,50,1591,36.5180,-93.2180,Arkansas
The House Beneath Hate,Kind Soldier,Thriller,2005,R,97,53,1821,15,1300,35.2353,-120.3361,California
The Glacier Beyond Freedom,Minute Sand,Fantasy,1979,R,83,24,2619,87,1931,39.39232,-79.597,West Virginia
A Foot Behind Death,Huge Fish,Comedy,2014,R,86,28,397,10,1380,32.74016,-81.90622,Georgia
The Pencil Regarding Fiction,Silent Vision,Horror,2018,G,78,32,2137,44,1702,41.90841,-76.31716,New York
The Cat With Fragility,Final Cost,Thriller,2012,G,90,63,1926,42,131,35.7271,-77.95499,North Carolina
The Soldier Until Consistency,Somehow Here,Action,1987,R,92,65,1399,46,1821,21.6106,-160.5144,Hawaii
A Shirt As Sleep,Sure Way,Thriller,2004,G,67,16,1689,46,350,33.93982,-86.02358,Alabama
The Bear Concerning Time,Kind Soldier,Romance,1978,R,89,15,2252,28,1384,46.5739,-120.2385,Washington
The Tree Minus Luxury,Runaway Vehicle,Science Fiction,2020,R,99,80,2101,33,1907,35.22039,-82.05067,South Carolina
The Car Like Luxury,Runaway Vehicle,Action,1986,G,94,20,1504,62,2447,35.9827,-114.6354,Nevada
The Eye Beyond Loyalty,Course Universe,Documentary,1977,R,94,21,1570,24,1366,39.36726,-76.71556,Maryland
The Book At Uncertainty,Final Cost,Romance,1982,R,83,44,1008,50,2357,45.0108,-116.0858,Idaho
A Helicopter Around Fear,Pulling Sally,Fantasy,1990,R,76,69,729,53,1838,37.5391,-103.5597,Colorado
A Valley Of Hope,Huge Fish,Science Fiction,1980,PG-13,111,62,847,31,2377,39.34066,-76.50552,Maryland
A Rocket Through War,Minute Sand,Action,2003,R,113,43,2772,76,1054,30.8587,-99.4751,Texas
A Leg Considering Feeling,Sure Way,Action,2020,PG-13,86,46,1490,27,2086,37.03005,-88.0403,Kentucky
A Car Against Sight,Huge Fish,Fantasy,1997,PG,80,58,779,49,1029,48.6894,-113.5564,Montana
A Pillow Along Hell,Huge Fish,Action,1976,R,94,82,1961,13,739,42.69758,-74.25374,New York
A Shoe Via Sight,Solar Scratch,Horror,1994,PG,102,20,2118,56,1574,44.5473,-113.9903,Idaho
A Man Per Loyalty,Fading Shrimp,Horror,2019,PG-13,88,23,1396,13,1936,43.75121,-85.86151,Michigan
A Cat Round Wealth,Silent Vision,Horror,2021,PG,103,69,856,18,1649,44.44267,-89.02133,Wisconsin
A Dog Off Reality,Runaway Vehicle,Action,2002,R,82,49,1705,28,1620,32.1518,-90.5645,Mississippi
An Airplane Per Fragility,Fading Shrimp,Horror,2014,R,108,46,1196,46,1303,34.2056,-117.2424,California
The Man From Touch,Sure Way,Action,1990,PG-13,78,81,2219,39,1796,40.48487,-79.44805,Pennsylvania
A Diamond Minus Luxury,Pulling Sally,Science Fiction,2002,PG-13,97,41,1429,76,1280,34.2987,-115.3898,California
The Clown Round Control,Papersoft,Thriller,2023,PG,99,74,1968,78,346,40.11011,-75.37963,Pennsylvania
A Bug Toward Hunger,Silent Vision,Comedy,1980,PG,85,49,800,79,355,36.4263,-96.2274,Oklahoma
The Moon Below Pride,Course Universe,Horror,2005,PG-13,87,23,896,34,197,47.8957,-102.4390,North Dakota
A Bear As Feeling,Silent Vision,Thriller,2006,PG-13,98,14,1972,19,1099,41.7567,-88.9462,Illinois
An Air Considering Hope,Yellow Dinner,Comedy,2003,R,70,26,1541,31,717,41.53798,-86.90547,Indiana
A Road Unlike Control,Silent Vision,Horror,1984,PG-13,118,38,876,8,1575,45.6287,-115.7374,Idaho
A Pillow Behind Strength,Fading Shrimp,Drama,1979,R,103,23,2771,60,2132,43.57471,-88.63483,Wisconsin
The Car Underneath War,Sure Way,Documentary,1976,R,84,59,2646,52,2824,44.7975,-101.2085,South Dakota
A Cat Without Death,Fading Shrimp,Science Fiction,2001,PG-13,73,54,246,24,544,32.3537,-108.5739,New Mexico
The Boy Excepting Death,Fading Shrimp,Comedy,1985,R,88,20,1122,44,1621,35.9826,-99.2880,Oklahoma
A Glacier Around Fragility,Runaway Vehicle,Action,1991,R,75,44,1204,56,1716,37.14319,-80.39588,Virginia
A Leg Excepting Sight,Runaway Vehicle,Action,1990,PG-13,82,36,1461,34,1676,33.8687,-93.6136,Arkansas
The World Along Decay,Fading Shrimp,Science Fiction,1975,G,80,72,356,22,1614,38.39373,-75.37714,Maryland
The Bed But Life,Silent Vision,Fantasy,1997,R,108,90,1450,73,1581,41.6532,-109.9884,Wyoming
The Diamond Regarding Time,Minute Sand,Science Fiction,2012,PG-13,96,56,1196,44,1811,41.47147,-75.60769,Pennsylvania
A Door Beneath Riches,Yellow Dinner,Comedy,1989,R,96,34,1825,93,1439,46.6189,-113.5337,Montana
The Clown Beside Heaven,Silent Vision,Thriller,2021,PG,88,59,1103,57,1489,35.2633,-120.3712,California
A Pillow During Loyalty,Pulling Sally,Science Fiction,1986,PG-13,85,34,2334,59,1580,36.15847,-80.28477,North Carolina
A Robot Of Control,Empty Mind,Fantasy,2023,G,112,54,818,49,2440,43.6480,-94.5654,Minnesota
The Valley Opposite Strength,Silent Vision,Thriller,2001,PG-13,76,44,1641,36,2158,41.28773,-89.36416,Illinois
A Finger Pending Luck,Fading Shrimp,Science Fiction,1990,PG,69,80,1310,94,1131,43.7495,-101.1680,South Dakota
The Cloud Beside Fragility,Huge Fish,Action,1995,PG-13,102,73,1036,24,1284,29.3443,-95.7172,Texas
An Alien Excepting War,Fading Shrimp,Documentary,2019,R,86,34,1202,38,2462,34.4773,-95.2632,Oklahoma
The Thing Behind Luck,Papersoft,Action,2015,G,72,46,2455,48,1034,46.4285,-95.1113,Minnesota
The Chair Past Reality,Sound Circle,Comedy,2015,R,76,80,1173,38,2099,40.69809,-89.61843,Illinois
The Leg During Pain,Pulling Sally,Horror,1993,PG,108,87,1176,69,1633,39.1516,-105.5035,Colorado
A Box Per Respect,Light Box,Horror,1981,PG,70,75,1811,58,1479,47.0271,-93.0879,Minnesota
A Car As Disrespect,Silent Vision,Drama,2019,PG-13,94,15,774,66,1324,44.13619,-68.45002,Maine
A Bear Towards Clarity,Course Universe,Action,1988,PG-13,81,36,936,27,882,42.3612,-87.8754,Wisconsin
A Clown Given Respect,Minute Sand,Comedy,1974,R,106,5,1947,65,1787,26.3318,-97.6573,Texas
The Blade Since Time,Silent Vision,Comedy,1988,R,86,61,2142,50,2128,59.9758,-148.8606,{}
The Wall Like Control,Sure Way,Science Fiction,1996,PG-13,103,23,1735,53,1108,33.609,-87.08972,Alabama
The Kite Since Pride,Sure Way,Comedy,2012,R,98,56,1855,88,1090,39.54477,-85.77803,Indiana
The Blade Past Touch,Course Universe,Mystery,2013,G,101,41,2347,21,1024,40.06176,-77.00248,Pennsylvania
The World Onto Wisdom,Course Universe,Thriller,2014,R,75,33,1183,58,1491,33.04043,-81.71206,Georgia
A Window Concerning Fact,Sound Circle,Romance,2002,G,87,32,1680,76,1335,32.02127,-85.08688,Alabama
An Atmosphere Since Wisdom,Runaway Vehicle,Action,1984,PG,78,54,1444,57,1285,36.94123,-81.09176,Virginia
The Wall Without Time,Light Box,Comedy,2007,R,70,46,561,88,879,35.35731,-89.60063,Tennessee
The Book On Pain,Huge Fish,Thriller,1995,PG,106,34,1662,51,26,29.6313,-81.6577,Florida
A Couch Given Feeling,Solar Scratch,Romance,1991,PG-13,90,27,1638,42,2235,45.8449,-91.3592,Wisconsin
A Moon Near Life,Yellow Dinner,Action,1999,R,95,91,1477,29,898,34.5205,-111.8881,Arizona
The Book Against Control,Silent Vision,Action,1996,PG-13,75,23,1319,26,1299,44.81721,-74.28033,New York
A Bug Beyond Thought,Course Universe,Action,2016,R,113,31,1353,49,1261,37.7554,-114.9052,Nevada
The Leg To Hope,Runaway Vehicle,Musical,2002,R,79,62,1005,27,2305,34.19177,-88.41143,Mississippi
The Train Excluding Respect,Huge Fish,Horror,1984,R,91,58,2810,73,918,39.7395,-84.17299,Ohio
A Wall To Disrespect,Huge Fish,Documentary,1986,R,69,57,2892,18,872,41.3410,-123.0944,California
The Air Over Poverty,Yellow Dinner,Action,1999,R,102,12,1964,63,525,41.6069,-71.98074,Connecticut
A Rocket Above Uncertainty,Sure Way,Science Fiction,2006,PG,97,55,1576,74,828,31.6702,-104.7110,{}
A Wall About Hunger,Somehow Here,Drama,2021,R,94,71,1426,52,2144,36.76453,-83.34213,Tennessee
The Pencil Given Science,Pulling Sally,Science Fiction,1987,R,74,90,1448,79,2045,34.7107,-113.7281,Arizona
A Thing Since Touch,Silent Vision,Action,2011,R,111,48,934,65,2010,39.51533,-84.73273,Indiana
A Robot Along Worry,Runaway Vehicle,Horror,2004,PG-13,90,49,2478,50,1065,42.8609,-103.8941,Nebraska
The Air Beyond Failure,Sound Circle,Comedy,1985,R,87,94,1450,93,1088,29.6080,-95.3317,Texas
A Mouth Across Calm,Course Universe,Horror,1981,R,87,6,2651,68,1682,36.33154,-77.43081,North Carolina
The Kite Around Despair,Course Universe,Action,2010,R,105,53,638,52,1982,38.26234,-80.11229,West Virginia
A Kite Toward Hell,Pulling Sally,Drama,1996,PG,99,51,2157,55,2656,42.30257,-73.32452,New York
The Glacier Through Wisdom,Huge Fish,Thriller,2009,G,94,61,678,60,1552,37.8380,-102.3838,Colorado
The Helicopter Concerning Sight,Light Box,Thriller,2012,PG,81,49,2294,67,2367,25.15929,-80.92146,Florida
The Lake Barring Mercy,Huge Fish,Romance,1975,R,101,65,2614,18,559,40.31619,-79.35991,Pennsylvania
A Man On Love,Sure Way,Drama,2009,R,91,61,1892,73,2802,41.37841,-75.98242,Pennsylvania
The House With Loyalty,Light Box,Thriller,1985,PG-13,97,28,1710,86,1131,34.4212,-107.1565,New Mexico
The Flower Excluding Failure,Silent Vision,Action,1994,PG-13,112,67,1282,27,1170,37.8829,-112.4942,Utah
The Kite Through Luck,Silent Vision,Drama,2019,R,101,76,1982,38,1380,28.07418,-82.47176,Florida
The Fruit Onto Comfort,Fading Shrimp,Action,1989,PG-13,78,53,303,22,265,43.90335,-82.97967,Michigan
An Alien Opposite Pride,Huge Fish,Romance,2012,PG-13,91,28,1559,44,1628,34.75351,-83.06588,South Carolina
The Helicopter Onto Loss,Runaway Vehicle,Action,1993,R,117,24,1795,35,2039,34.5913,-118.3482,California
The Door Given Hunger,Course Universe,Action,2017,R,112,63,1358,11,2071,42.23589,-79.46255,New York
A Bird Around Poverty,Final Cost,Science Fiction,2012,PG-13,95,35,2508,55,2622,45.7154,-108.9150,Montana
The Flower Through Pain,Sure Way,Science Fiction,1982,PG-13,89,60,1727,52,1169,40.48487,-79.44805,Pennsylvania
The Cat Excepting Hate,Course Universe,Horror,1989,G,68,56,2253,89,1834,41.55593,-73.04427,Connecticut
A Train Along Uncertainty,Sound Circle,Horror,1986,R,86,52,1837,71,1167,35.6025,-108.7150,New Mexico
The Pencil Above Death,Minute Sand,Comedy,1974,R,106,66,1496,67,998,35.8042,-91.7311,Arkansas
A Mountain Since Wisdom,Minute Sand,Romance,1982,R,80,49,2110,46,1630,59.7873,-151.4546,Alaska
A Woman Beyond Confusion,Huge Fish,Science Fiction,1974,PG,97,88,2609,78,1778,47.7803,-91.3074,Minnesota
The Blade Upon Luck,Sure Way,Action,2017,R,100,43,155,33,611,39.14427,-76.81692,Maryland
A Bug Plus Hell,Fading Shrimp,Thriller,1993,R,88,68,1331,61,648,39.0482,-94.5865,Missouri
The Nose Against Fear,Yellow Dinner,Thriller,1998,PG-13,105,84,2174,51,1936,33.96095,-89.51814,Mississippi
A Robot Towards Riches,Sure Way,Romance,2006,R,110,54,1739,39,1017,41.4007,-110.3676,Wyoming
A Nose Into Pain,Pulling Sally,Science Fiction,2000,G,106,68,2803,56,1315,39.0440,-114.5751,Nevada
A Woman Opposite Death,Silent Vision,Action,1993,R,92,65,1201,6,218,36.93644,-88.22503,Kentucky
The Bear During Disrespect,Fading Shrimp,Science Fiction,1988,R,64,55,1619,51,2170,37.1871,-90.8607,Missouri
The Leg Along Mercy,Yellow Dinner,Thriller,1997,PG,109,33,1345,29,2038,36.7487,-109.9717,Arizona
The Soldier Except Anxiety,Course Universe,Comedy,2000,R,87,39,2684,71,1346,41.91586,-89.64844,Illinois
A Lake Among Honor,Silent Vision,Action,2015,R,74,45,1526,26,1248,41.52341,-75.5663,Pennsylvania
A Book Before Sight,Final Cost,Drama,2003,R,85,59,108,45,1248,37.74361,-88.94139,Illinois
The Cloud Beneath Dishonesty,Kind Soldier,Comedy,1984,PG-13,104,28,372,33,813,37.7183,-97.8747,Kansas
The Cat Upon Mercy,Huge Fish,Thriller,2003,R,90,77,1147,54,2276,38.1298,-92.5305,Missouri
An Air Amid Pain,Final Cost,Documentary,2019,PG,105,44,2140,44,2619,41.4031,-123.7154,California
A House Opposite Success,Silent Vision,Horror,1999,PG,97,71,1780,54,1078,42.79447,-85.76197,Michigan
The Wall Of Honor,Final Cost,Horror,1998,R,105,35,1527,53,2869,38.07458,-78.57196,Virginia
The Finger Against Sleep,Fading Shrimp,Action,2006,PG,90,41,2842,25,1364,38.78428,-77.14554,"Washington, D.C."
The Road Underneath Love,Huge Fish,Horror,2010,PG-13,79,85,1938,10,2151,43.82425,-69.91394,Maine
An Eye Beneath Freedom,Final Cost,Fantasy,1991,R,89,45,1071,47,1846,41.65583,-74.27639,New York
The Eye Towards Uncertainty,Final Cost,Science Fiction,2016,PG-13,104,70,1478,50,890,33.09124,-84.43742,Georgia
A Mouth Upon Time,Minute Sand,Science Fiction,2001,R,82,73,2155,36,481,33.7650,-109.3410,Arizona
A Mountain Considering Freedom,Course Universe,Action,2003,PG-13,82,45,1878,46,767,38.7106,-91.3434,Missouri
The Woman Onto Calm,Huge Fish,Drama,1998,R,102,53,1149,40,1135,45.7264,-105.9910,Montana
A Valley Excepting Insanity,Runaway Vehicle,Horror,2018,PG-13,104,88,666,93,543,46.4076,-106.7239,Montana
A Couch Beyond Wisdom,Pulling Sally,Thriller,2011,R,117,58,724,67,1396,45.4367,-102.4813,South Dakota
A Cloud Except Failure,Minute Sand,Comedy,1980,PG-13,83,87,1449,74,2023,39.2231,-117.6668,Nevada
The Blade Given Riches,Silent Vision,Horror,1986,R,78,62,533,57,1771,41.49281,-87.75199,Illinois
The Blade Like Happiness,Silent Vision,Thriller,1998,G,85,57,1242,79,808,44.71424,-67.43638,Maine
The Bug Save Reality,Sure Way,Science Fiction,2015,PG-13,77,53,1943,71,1095,54.3520,-130.7814,British Columbia
The Bird Through Truth,Runaway Vehicle,Thriller,1994,R,85,54,1459,36,1460,43.3744,-90.5850,Wisconsin
The Mouth To Pain,Light Box,Documentary,1978,R,68,42,646,10,1565,39.4775,-123.0993,California
A Foot Unlike Life,Final Cost,Action,1985,R,116,58,1645,22,971,44.2711,-102.2029,South Dakota
The Finger Below Fear,Huge Fish,Horror,2006,PG-13,104,36,1983,24,1547,48.6271,-110.0714,Montana
The Wall As Freedom,Minute Sand,Fantasy,1975,R,92,11,503,67,2342,67.5767,-163.4305,Alaska
The Fruit Beyond Freedom,Minute Sand,Comedy,1999,PG,94,28,1652,29,1961,45.3937,-122.6917,Oregon
A Car Within Uncertainty,Final Cost,Science Fiction,2003,PG-13,77,61,865,71,1534,32.7688,-117.1059,California
The Boy From Consistency,Minute Sand,Science Fiction,2002,R,92,69,1742,70,1500,41.51394,-85.98111,Indiana
A Floor Beyond Truth,Fading Shrimp,Drama,2012,G,86,46,1667,28,1458,39.7046,-120.6797,California
